,,,,,,,,,,,,,
,,,,,,,,,,,,,
Variable-Veh 1 Color,Variable-Veh 1 Distance,Variable-Veh 1 Speed,Variable-Veh 1 Deviation,Variable-Veh 1 Integral,Variable-Veh 1 Derivative,Variable-Veh 1 angle,Variable-Veh 2 Color,Variable-Veh 2 Distance,Variable-Veh 2 Speed,Variable-Veh 2 Deviation,Variable-Veh 2 Integral,Variable-Veh 2 Derivative,Variable-Veh 2 angle
47,1607,126,9.5,0,-5,1.3,26,2238,161.6270693,-14,0,-23,-19.9
77,1607,126.5,39.5,39.5,30,34.75,25,1227,165,-15,-15,-1,-11
78,2550,127,40.5,80,1,24.7,59,2550,165,19,0,34,28.4
70,2550,127.5,32.5,112.5,-8,20.25,65,2265,165,25,25,6,20.5
43,2550,128,5.5,0,-27,-11.3,57,1155,165,17,42,-8,10.4
27,2550,128.5,-10.5,0,-16,-12.2,26,1179,165,-14,0,-31,-23.9
61,2550,129,23.5,0,34,26.4,8,1119,165,-32,-32,-18,-31.4
72,2550,129.5,34.5,34.5,11,22.75,29,2290,165,-11,-43,21,-0.4
53,2550,130,15.5,50,-19,1.7,71,2116,165,31,0,42,39.6
15,2550,130,-22.5,0,-38,-28,67,2550,165,27,27,-4,16.9
16,2550,130,-21.5,-21.5,1,-10.25,7,2100,165,-33,0,-60,-49.8
73,2550,130,35.5,0,57,42.7,5,1031,165,-35,-35,-2,-25.5
70,2550,130,32.5,32.5,-3,14.75,5,2550,165,-35,-70,0,-28
6,2550,130,-31.5,0,-64,-44.6,54,2108,165,14,0,49,32.9
5,2550,130,-32.5,-32.5,-1,-16.75,72,2550,165,32,32,18,31.4
64,2550,130,26.5,0,59,40.1,75,2550,165,35,67,3,29.2
73,2550,130,35.5,35.5,9,22.25,45,2550,165,5,0,-30,-12
26,2550,130,-11.5,0,-47,-28.1,5,970,165,-35,0,-40,-41
6,2550,130,-31.5,-31.5,-20,-25.75,5,2550,165,-35,-35,0,-24.5
16,2550,130,-21.5,-53,10,-8.9,15,2550,165,-25,-60,10,-16
60,2550,130,22.5,0,44,31,65,1808,165,25,0,50,40
71,2550,130,33.5,33.5,11,22.25,71,1762,165,31,31,6,24.7
13,2550,130,-24.5,0,-58,-38.8,64,1722,165,24,55,-7,16.4
7,2550,130,-30.5,-30.5,-6,-18.25,38,1694,165,-2,0,-26,-14.2
71,2550,130,33.5,0,64,45.4,9,1679,165,-31,-31,-29,-36.2
77,2550,130,39.5,39.5,6,22.75,14,1650,165,-26,-57,5,-18.8
22,2550,130,-15.5,0,-55,-33.7,65,1611,165,25,0,51,40.5
14,1797,130,-23.5,-23.5,-8,-15.75,67,1603,165,27,27,2,19.9
62,2370,130,24.5,0,48,33.8,62,1564,165,22,49,-5,15.6
68,1825,130,30.5,30.5,6,18.25,28,1536,165,-12,0,-34,-24.2
20,1783,130,-17.5,0,-48,-31,8,1519,165,-32,-32,-20,-32.4
5,1732,130,-32.5,-32.5,-15,-23.75,34,1472,165,-6,0,26,9.4
56,1723,130,18.5,0,51,32.9,64,1456,165,24,0,30,29.4
69,2390,130,31.5,31.5,13,22.25,64,1435,165,24,24,0,16.8
18,1665,130,-19.5,0,-51,-33.3,46,1418,165,6,0,-18,-5.4
6,1641,130,-31.5,-31.5,-12,-21.75,29,1387,165,-11,0,-17,-15.1
41,1640,130,3.5,0,35,18.9,21,1385,165,-19,-19,-8,-17.3
68,1678,130,30.5,30.5,27,28.75,53,1385,165,13,0,32,23.8
33,1616,130,-4.5,0,-35,-19.3,71,1326,165,31,31,18,30.7
5,1572,130,-32.5,-32.5,-28,-30.25,70,1326,165,30,61,-1,23.6
29,1558,130,-8.5,0,24,8.6,72,1326,165,32,93,2,29.5
77,1528,130,39.5,0,48,39.8,75,1254,165,35,128,3,35.3
49,1529,130,11.5,11.5,-28,-8.25,74,1227,90,34,162,-1,36.1
6,1490,130,-31.5,0,-43,-34.1,73,1210,90,33,195,-1,38.8
14,1486,130,-23.5,-23.5,8,-7.75,75,1196,90,35,230,2,45
73,1486,130,35.5,0,59,43.7,59,1202,90,19,249,-16,28.3
78,1472,130,40.5,40.5,5,22.75,9,1902,90,-31,0,-50,-43.6
19,1472,130,-18.5,0,-59,-36.9,5,1877,94.5,-35,-35,-4,-26.5
5,1472,130,-32.5,-32.5,-14,-23.25,37,1174,99.225,-3,0,32,14.2
60,1472,130,22.5,0,55,36.5,85,1168,104.18625,45,0,48,51
79,1472,130,41.5,41.5,19,30.25,85,1139,109.3955625,45,45,0,31.5
28,2550,130,-9.5,0,-51,-29.3,54,1156,114.8653406,14,59,-31,-1.2
5,2550,130,-32.5,-32.5,-23,-27.75,6,1800,120.6086077,-34,0,-48,-44.4
18,2550,130,-19.5,-52,13,-6.5,11,1783,126.639038,-29,-29,5,-17.8
62,1856,130,24.5,0,44,31.8,68,1162,132.9709899,28,0,57,45.3
